seg_uid,seg_id,road_name,length_m
DM-192860-284021-3JSA,DM03298,동계천로85번길,27.7
DM-192861-283840-5592,DM00764,제봉로140번길,47.3
DM-192861-284149-N2AV,DM02877,동계천로95번길,11.3
DM-192862-284169-N2AV,DM02876,동계천로95번길,37.6
DM-192865-283954-3JSA,DM02868,동계천로85번길,28.1
DM-192865-284285-X343,DM00780,계림로,22.1
DM-192866-283889-JFYG,DM02459,동계천로,47.9
DM-192866-284050-3JSA,DM02872,동계천로85번길,48.4
DM-192867-283977-JFYG,DM03290,동계천로,31.8
DM-192868-284089-3JSA,DM01707,동계천로85번길,30.0
DM-192868-284153-DX27,DM02878,동계로13번길,4.5
DM-192870-284238-52VO,DM02409,경양로,25.6
DM-192870-284303-X343,DM00779,계림로,33.4
DM-192871-284133-N2AV,DM00866,동계천로95번길,37.6
DM-192873-283993-JFYG,DM03292,동계천로,15.1
DM-192874-283944-N2AV,DM00823,동계천로95번길,1.9
DM-192875-284189-5UT1,DM02867,동계로15번길,33.9
DM-192878-284106-N2AV,DM00865,동계천로95번길,16.8
DM-192881-284096-N2AV,DM01709,동계천로95번길,3.3
DM-192883-283707-W4QT,DM00087,제봉로,60.0
DM-192883-284160-DX27,DM03320,동계로13번길,29.3
DM-192885-284075-N2AV,DM02873,동계천로95번길,40.9
DM-192887-284103-N2AV,DM02875,동계천로95번길,21.7
DM-192887-284213-5UT1,DM02413,동계로15번길,56.9
DM-192887-284307-52VO,DM00782,경양로,17.7
DM-192888-284258-52VO,DM02412,경양로,39.0
DM-192889-284114-DX27,DM00863,동계로13번길,25.2
DM-192890-284000-JFYG,DM02869,동계천로,33.0
DM-192891-284238-52VO,DM02411,경양로,16.5
DM-192892-283592-W4QT,DM00082,제봉로,90.9
DM-192892-283939-YM7N,DM00821,동명로25번길,36.1
DM-192893-283834-5592,DM00767,제봉로140번길,47.9
DM-192893-283863-5592,DM00766,제봉로140번길,32.9
DM-192893-283890-JFYG,DM02461,동계천로,22.1
