segment_id,road_name,width_m,width_min_m,width_p25_m,n_sample,width_src,road_bt,tier,current_status,flag
seg_1167,필문대로253번길,4.87,2.5,3.5,46,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_1168,필문대로253번길,3.04,3.04,3.04,43,ngii_digitalmap,4.0,CANDIDATE,YELLOW,
seg_139,장동로,8.28,8.06,8.06,166,ngii_digitalmap,9.241,CANDIDATE,YELLOW,
seg_255,장동로43번길,5.02,5.0,5.02,89,ngii_digitalmap,4.0,CANDIDATE,YELLOW,
seg_1188,필문대로253번길,8.45,3.16,6.25,4,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_1187,필문대로253번길,6.08,6.02,6.08,44,ngii_digitalmap,6.0,CANDIDATE,YELLOW,
seg_1185,필문대로253번길,3.04,2.24,3.0,43,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_1189,필문대로253번길,2.92,2.5,2.83,14,silpok,2.0,CANDIDATE,YELLOW,
seg_1941,동계천로,10.76,1.58,5.64,14,ngii_digitalmap,4.0,FIXED_BLOCK,RED,
seg_2067,장동로,8.14,6.02,8.14,51,ngii_digitalmap,8.0,CANDIDATE,YELLOW,
seg_1191,필문대로,25.5,3.35,14.26,12,ngii_digitalmap,3.0,CANDIDATE,GRAY,
seg_2228,백서로,3.04,3.0,3.0,15,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_2229,동계천로,4.5,0.5,4.5,19,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_1192,지호로,2.24,2.24,2.24,1,ngii_digitalmap,1.0,CANDIDATE,GRAY,
seg_2083,동계천로,6.02,6.02,6.02,63,ngii_digitalmap,6.0,CANDIDATE,YELLOW,
seg_2082,동계천로,4.53,4.53,4.53,33,ngii_digitalmap,5.0,CANDIDATE,YELLOW,
seg_2092,동계천로,12.05,3.54,9.01,6,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_1287,지산로57번길,8.06,2.55,6.96,5,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_198,지산로57번길,10.27,8.54,9.11,8,ngii_digitalmap,8.0,CANDIDATE,YELLOW,
seg_1236,동명로98번길,4.61,3.04,3.04,53,ngii_digitalmap,4.0,CANDIDATE,YELLOW,
seg_1237,동명로98번길,7.72,1.5,4.98,8,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_2088,동계천로,11.52,2.5,7.62,6,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_2090,동계천로,10.75,1.41,6.41,6,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_2093,동계천로,8.31,1.58,5.9,12,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_2091,동계천로,5.31,1.41,5.02,10,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_2089,동계천로,10.8,2.0,6.88,6,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_2080,동계천로,7.07,7.02,7.07,64,ngii_digitalmap,8.0,CANDIDATE,YELLOW,
seg_2084,동계천로,6.02,6.02,6.02,11,ngii_digitalmap,6.0,CANDIDATE,YELLOW,
seg_2086,동계천로,8.25,8.08,8.08,40,ngii_digitalmap,9.0,CANDIDATE,YELLOW,
seg_2087,동계천로,8.07,3.81,7.0,4,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_2085,동계천로,6.02,3.5,4.76,3,ngii_digitalmap,1.0,CANDIDATE,GRAY,
seg_1255,동명로98번길,9.51,3.81,6.66,4,ngii_digitalmap,1.0,CANDIDATE,GRAY,
seg_1212,필문대로241번길,3.04,3.0,3.0,31,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_200,지산로63번길,6.32,4.53,4.61,5,ngii_digitalmap,4.0,CANDIDATE,GRAY,
seg_1210,필문대로241번길,9.22,1.41,3.27,14,ngii_digitalmap,1.0,FIXED_BLOCK,RED,
seg_195,동명로98번길,8.06,6.0,6.02,76,ngii_digitalmap,10.0,CANDIDATE,YELLOW,
seg_2079,동계천로,6.04,6.04,6.04,46,ngii_digitalmap,6.0,CANDIDATE,YELLOW,
seg_2081,동계천로,8.08,3.54,6.56,4,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_1940,필문대로,3.0,2.69,3.0,13,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_1939,필문대로,10.4,1.0,3.0,25,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_2097,동명로14번길,5.02,1.0,4.02,4,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_2095,동명로14번길,1.12,1.12,1.12,1,ngii_digitalmap,1.0,FIXED_BLOCK,RED,
seg_304,필문대로241번길,3.04,2.5,3.0,63,ngii_digitalmap,1.0,CANDIDATE,GRAY,
seg_2094,동명로14번길,6.0,0.5,2.75,23,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_1938,필문대로,6.2,4.53,5.96,52,ngii_digitalmap,7.0,CANDIDATE,YELLOW,
seg_131,동명로14번길,5.02,4.5,4.53,234,ngii_digitalmap,6.0,CANDIDATE,YELLOW,
seg_1208,필문대로241번길,2.5,2.24,2.5,8,silpok,1.0,CANDIDATE,GRAY,
